subject,count
Indochinese War (1946-1954),373
"İnönü, Battles of (Bilecik İli, Turkey : 1921)",374
"Insurrection (Peloponnesus, Greece : 1770)",375
Interferenzen (Exhibition),376
"International (Golf tournament : Castle Pines, Colorado)",377
International Antiquarian Book Fair (Antiquarian Booksellers Association of America),378
"International Azalea Festival (Norfolk, Virginia)",379
"International Biennale of Architecture (Kraków, Poland)",380
"International Conference on Asteroids, Comets, Meteors",381
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",382
International Conference on Deaf Culture,383
International Conference on Environmental Education (1977- ),384
International Congress of Hygiene and Demography,385
International Congress of South-East European Research Studies,386
International Congresses for Modern Architecture,387
"International Exhibition of Paintings (Pittsburgh, Pennsylvania)",388
"International Folk Festival (Duluth, Minnesota)",389
International Poetry Festival (1970),390
International Press Exhibition,391
"International Relations Conference (International Peace Garden, Manitoba and North Dakota)",392
"International Relations Conference (International Peace Garden, Manitoba and Notth Dakota)",393
International Women's Decade (1976-1985),394
International Women's Year (1975),395
Intifada (1987-1993),396
Iran Hostage Crisis (1979-1981),397
Iran-Contra Affair (1985-1990),398
Iran-Iraq War (1980-1988),399
Iraq War (2003-2011),400
Iraq-Kuwait Crisis (1990-1991),401
Irish Union (1801),402
"Ishigakibaru, Battle of (Beppu-shi, Japan : 1600)",403
Israel-Arab Border Conflicts (1949-),404
Israel-Arab War (1948-1949),405
Israel-Arab War (1967),406
Israel-Arab War (1973),407
Israeli Intervention in Lebanon (1982-1985),408
Italo-Ethiopian War (1895-1896),409
Italo-Ethiopian War (1935-1936),410
"Itasca County Fair (Itasca County, Minnesota)",411
"Jackson, Battle of (Mississippi :  May 13, 1863)",412
Jacobite Rebellion (1715),413
Jacobite Rebellion (1745-1746),414
Jacquerie (1358),415
"Jankau, Battle of (Jankov, Středočeský kraj, Czech Republic : 1645)",416
"Jaroslawice, Battle of (I︠A︡roslavychi, Ternopilʹsʹka oblastʹ, Ukraine : 1914)",417
"Jersey, Battle of (1781)",418
Jews rescue (1939-1945 : World War),419
"Johnsonville, Battle of (New Johnsonville, Tennessee : 1864)",420
Jonestown Mass Suicide (Guyana : 1978),421
"Juchitán, Battle of (Juchitán de Zaragoza, Mexico : 1866)",422
"Juchitán, Battle of (Mexico : 1866)",423
Jugurthine War (111-105 B.C.),424
June in Buffalo (Festival),425
"Junior Livestock Show (South Saint Paul, Minnesota)",426
"Kalinin, Battle of (Tverʹ, Russia : 1941)",427
Kalmar War (1611-1613),428
Kandiyohi County Fair (Minnesota),429
"Kanizsa, Battle of (Nagykanizsa, Hungary : 1601)",430
Kanto Earthquake (Japan : 1923),431
"Kápolna, Battle of (Heves Megye, Hungary : 1849)",432
"Karameh, Battle of (Karāmah, Jordan : 1968)",433
"Karbalāʼ, Battle of (Iraq : 680)",434
Kawanakajima War (1553-1564),435
"Kemmel, Battles of (Belgium : 1918)",436
"Kent State Shootings (Kent, Ohio : 1970)",437
"Kernstown, 1st Battle of (Winchester, Virginia : 1862)",438
Kett's Rebellion (England : 1549),439
"Khafji, Battle of (Raʼs al-Khafjī, Saudi Arabia : 1991)",440
"Kharkov, Battle of (Kharkiv, Ukraine : 1942)",441
"Kharkov, Battle of (Kharkiv, Ukraine : 1943)",442
Kiel Regatta (Germany : 1907),443
Kiel Regatta (Germany : 1914),444
Kieler Woche,445
King Philip's War (1675-1676),446
Kingsport Press Strike (Tennessee : 1963-),447
"Kirchholm, Battle of (Salaspils, Latvia : 1605)",448
