subject,count
"Frederick V, Reign of (Denmark)",434
"Frederick V, Reign of (Norway)",435
"Joseph I, Reign of (Portugal)",436
"Adolphus Frederick, Reign of (Sweden)",437
"Mustafa III, Reign of (Turkey)",438
"Charles III, Reign of (Spain)",439
"George III, Reign of (Great Britain)",440
"Catherine II, Reign of (Russia)",441
"English Colony, Period as (Florida)",442
Partition Period (Poland),443
"Stanislaus II Augustus, Reign of (Poland)",444
"Joseph II, Reign of (Holy Roman Empire)",445
"Christian VII, Reign of (Denmark)",446
"Christian VII, Reign of (Norway)",447
"French Domination, Period of(Corsica)",448
"Gustavus III, Reign of (Sweden)",449
"Victor Amadeus II, Reign of (Sardinia)",450
"Abdul Hamid I, Reign of (Turkey)",451
"Louis XVI, Reign of (France)",452
Revolutionary Period (United States),453
"Maria I, Reign of (Portugal)",454
"Joseph II, Reign of (Austria)",455
"Joseph II, Reign of (Hungary)",456
"Peter I, Reign of (Montenegro)",457
"Spanish Colony, Period as (Florida)",458
"Frederick William II, Reign of (Prussia)",459
"Charles IV, Reign of (Spain)",460
"Selim III, Reign of (Turkey)",461
Constitutional Period (United States),462
"Leopold II, Reign of (Austria)",463
"Leopold II, Reign of (Hungary)",464
"First Republic, Period as (France)",465
"Francis II, Reign of (Holy Roman Empire)",466
"Gustavus IV Adolphus, Reign of (Sweden)",467
"Francis I, Reign of (Austria)",468
"Directory, Reign of (France)",469
"Batavian Republic, Period as (Netherlands)",470
"Paul I, Reign of (Russia)",471
"Charles Emmanuel IV, Reign of (Sardinia)",472
"Jiaqing, Reign of (China)",473
"French Rule, Period under (Bologna)",474
"Frederick I, Reign of (Württemberg)",475
"Frederick William III, Reign of (Prussia)",476
"Helvetic Republic, Period as (Switzerland)",477
"Consulate and First Empire, Period as (France)",478
"Commodus, Reign of (Rome)",479
"Alexander I, Reign of (Russia)",480
"Victor Emmanuel I, Reign of (Sardinia)",481
"Mediation Act, Period under (Switzerland)",482
"Mohammed Ali, Reign of (Egypt)",483
"Joseph Bonaparte, Reign of (Naples)",484
"Frederick VI, Reign of (Norway)",485
"Joachim Murat, Reign of (Naples)",486
"Frederick VI, Reign of (Denmark)",487
"Mahmud II, Reign of (Turkey)",488
"Charles XIII, Reign of (Sweden)",489
"Hova Rule, Period under (Madagascar)",490
"Ferdinand VII, Reign of (Spain)",491
"Louis XVIII, Reign of (France)",492
Restoration Period (France),493
Restoration Period (Paris),494
"Restoration (Paris, France)",495
"Miloš Obrenović, Reign of (Serbia)",496
"Austrian Rule, Period under (Venice)",497
"United Kingdom, Period as (Brazil)",498
"Papal Rule, Period under (Bologna)",499
"John VI, Reign of (Portugal)",500
Mfecane Period (Southern Africa),501
"William I, Reign of (Württemberg)",502
"Charles XIV John, Reign of (Sweden)",503
"George IV, Reign of (Great Britain)",504
"Daoguang, Reign of (China)",505
